name,image,price,description,restaurant_id
Margherita,https://images.ctfassets.net/nw5k25xfqsik/64VwvKFqxMWQORE10Tn8pY/200c0538099dc4d1cf62fd07ce59c2af/20220211142754-margherita-9920.jpg,7.50,"Tomato, mozzarella, basil",1
Four Seasons,https://as2.ftcdn.net/v2/jpg/01/79/46/39/1000_F_179463969_fkmP2nNsv85EZnea8SvjJgEaTRfNC9Lh.jpg,9.00,"Tomato, mozzarella, mushrooms, ham, artichokes",1
Diavola,https://www.silviocicchi.com/pizzachef/wp-content/uploads/2015/03/d2.jpg,8.50,"Tomato, mozzarella, spicy salami, chili peppers",1
Capricciosa,https://www.melarossa.it/wp-content/uploads/2021/02/pizza-capricciosa.jpg,9.50,"Tomato, mozzarella, mushrooms, ham, olives, artichokes",1
Calzone,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR8Hpe3Up28Fe5KcCudPivbneRlmcf7BiCKR71W929xAA&s,8.00,"Tomato, mozzarella, ham, mushrooms",1
Sushi Maki,https://img.freepik.com/free-photo/maki-sushi-isolated-white_2829-7304.jpg?size=626&ext=jpg&ga=GA1.1.632798143.1705795200&semt=ais,12.00,"Rice, raw fish, nori seaweed, cucumber, avocado",2
Sashimi,https://www.shutterstock.com/image-photo/famous-japanese-menu-salmon-sashimi-260nw-1709452699.jpg,15.00,"Raw fish",2
Tonkotsu Ramen,https://media.istockphoto.com/id/1406672650/photo/japanese-tonkotsu-ramen.jpg?s=612x612&w=0&k=20&c=XfwavYs_chHo-S-M7IWoK7IxEXzYxd3dFyihnvC_zkI=,10.50,"Noodles, pork broth, cooked pork, boiled egg, green onion, mushrooms",2 
Teriyaki Chicken,https://drivemehungry.com/wp-content/uploads/2021/11/chicken-teriyaki-4.jpg,11.00,"Chicken, teriyaki sauce, rice",2
Gyoza,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRDrUWTBFSrprYMZQ3zXCxGa_gDGWZXQsyKh3GmOfWgGw&s,8.50,"Minced meat, vegetables, soy sauce",2
Moussaka,https://www.recipetineats.com/wp-content/uploads/2019/03/Greek-Moussaka_3-re-edited-SQ.jpg,10.50,"Eggplant, minced meat, potatoes, cheese, béchamel sauce",3
Gyros,https://t4.ftcdn.net/jpg/03/13/50/71/360_F_313507159_6Y1UnTwolwy7a9C7QxAjAWuqaxXoBxo8.jpg,9.00,"Pork meat, pita bread, tzatziki sauce, lettuce, tomato, onion",3
Souvlaki,https://images.squarespace-cdn.com/content/v1/5aa690d0a9e0283d7347db9c/1548090167557-PQUKSY1A6EHYW2WQCUP3/BBQPorkKebab.jpg,8.50,"Pork meat skewers, tzatziki sauce, fries",3
Greek Salad,https://i2.wp.com/www.downshiftology.com/wp-content/uploads/2018/08/Greek-Salad-main.jpg,7.00,"Tomato, cucumber, olives, red onion, feta cheese, oregano, olive oil",3 
Tzatziki,https://upload.wikimedia.org/wikipedia/commons/2/22/Tzatziki_IMGP1480.jpg,4.00,"Greek yogurt, cucumber, garlic, olive oil, parsley",3
Vegan Burger,https://media.istockphoto.com/id/1331109186/photo/close-up-of-a-veggie-burger-with-copy-space.jpg?s=612x612&w=0&k=20&c=I9QgB8ar8CF8VmkN4U9gleYBWwADSl-tCYQ86OH679w=,9.00,"Chickpea burger, wholemeal bun, lettuce, tomato, cucumber, red onion, avocado",4
Vegan Pad Thai,https://cdn77-s3.lazycatkitchen.com/wp-content/uploads/2021/01/healthier-vegan-pad-thai-macro-1024x1536.jpg,11.50,"Rice noodles, tofu, vegetables, soy sauce, lime",4
Falafel Wrap,https://b2427937.smushcdn.com/2427937/wp-content/uploads/2016/01/What-the-pitta-falafel-wrap.jpg?lossy=1&strip=1&webp=1,8.00,"Falafel, wholemeal pita bread, hummus, lettuce, tomato, onion",4
Quinoa Bowl,https://www.eatingbirdfood.com/wp-content/uploads/2022/11/mediterranean-quinoa-bowl-hero.jpg,10.00,"Quinoa, avocado, chickpeas, grilled vegetables, tahini sauce",4
Vegan Pizza,https://cdn.loveandlemons.com/wp-content/uploads/2018/09/vegan-pizza.jpg,10.50,"Tomato, vegan mozzarella, mixed vegetables, black olives, mushrooms",4 
Lasagna,https://thecozycook.com/wp-content/uploads/2022/04/Lasagna-Recipe-f.jpg,12.00,"Egg pasta, minced meat, sauce, mozzarella, parmesan cheese",5
Spaghetti Carbonara,https://www.allrecipes.com/thmb/cuDcxfQAvVOALbKcdoIzXPwqQMo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4499842-257380-AR-spaghetti-alla-carbonara-tradizionali-buckwheat-queen-4x3-eb4e48956fbd4277adcc3556e3bf6ecc.jpg,11.50,"Spaghetti, pancetta, eggs, parmesan cheese, black pepper",5
Mushroom Risotto,https://img.freepik.com/free-photo/vegetarian-risotto-with-fresh-mushrooms-parmesan-cheese-generated-by-ai_188544-10223.jpg,13.00,"Rice, porcini mushrooms, vegetable broth, onion, white wine, parmesan cheese, parsley",5
Penne all'Arrabbiata,https://www.fattoincasadabenedetta.it/wp-content/uploads/2022/03/AdobeStock_325292847-scaled.jpg,9.00,"Penne, tomato, chili, garlic, olive oil, parsley",5
Caprese Salad,https://www.cookingclassy.com/wp-content/uploads/2020/07/caprese-salad-33.jpg,8.50,"Tomato, buffalo mozzarella, basil, olive oil, salt",5
Kung Pao Chicken,https://rasamalaysia.com/wp-content/uploads/2019/03/kung-pao-chicken-thumb.jpg,10.50,"Chicken, peanuts, chili, onion, soy sauce, ginger, garlic",6 
Mapo Tofu,https://media.istockphoto.com/id/177836555/photo/mapo-tofu-sichuan-style.jpg?s=612x612&w=0&k=20&c=z_JtjZBo8xxuMOgGW978jsTOL8hZoaUfgRngiYWWIz8=,9.00,"Tofu, minced pork, fermented beans, chili, onion, garlic, ginger",6
Sweet and Sour Pork,https://www.recipetineats.com/wp-content/uploads/2020/08/Sweet-and-Sour-Pork_7-SQ.jpg,11.00,"Pork meat, pineapple, bell peppers, onion, sweet and sour sauce",6 
Chow Mein,https://t4.ftcdn.net/jpg/02/94/95/95/360_F_294959511_536HlgQVuK77Jo0NIU80ZrFRS0qFabIV.jpg,8.50,"Noodles, pork meat, vegetables, soy sauce, garlic, ginger",6
Dim Sum,https://thumbs.dreamstime.com/b/chinese-dimsum-set-yumcha-bamboo-container-60788502.jpg,9.50,"Various dumplings",6
Cheeseburger,https://media.istockphoto.com/id/520410807/it/foto/cheeseburger.jpg?s=612x612&w=0&k=20&c=GDENzVNof2rJ3VPyIlwq899kGHgZ_GEfqNCd4r2Sh28=,7.50,"Bun, beef patty, cheese, lettuce, tomato, ketchup, mayonnaise",7
Chicken Nuggets,https://upload.wikimedia.org/wikipedia/commons/3/34/Crispy_chicken_nuggets.jpg,6.00,"Chicken, breading, ketchup",7
Hot Dog,https://dinnersdishesanddesserts.com/wp-content/uploads/2022/02/Air-Fryer-Hot-Dogs-square-scaled.jpg.webp,5.50,"Sausage, bun, ketchup, mustard, onion",7
French Fries,https://www.oregoncc.org/sites/default/files/styles/content_image/public/2015/07/06/French%20Fries.jpg?itok=ZdQLqloM,4.00,"Potatoes",7
Milkshake,https://media.istockphoto.com/id/926990564/it/foto/latte-al-cioccolato-e-panna-montata.jpg?s=612x612&w=0&k=20&c=bpV1YHXYMVvE5mNgw8fLGrZfFu5FFDZByeVQbUbv2K0=,5.00,"Ice cream, milk, chocolate or strawberry syrup",7
Doner Kebab,https://www.themanual.com/wp-content/uploads/sites/9/2023/07/Doner-Haus-chicken.jpg?fit=800%2C532&p=1,8.00,"Pork meat, pita bread, lettuce, tomato, onion, tzatziki sauce",8
Shawarma,https://t3.ftcdn.net/jpg/03/09/85/36/360_F_309853648_yJJrVCYncv1D4raXzSH39WUlrRMLEwv3.jpg,9.00,"Chicken meat, pita bread, lettuce, tomato, onion, tahini sauce",8
Falafel Plate,https://st.depositphotos.com/1373322/5125/i/450/depositphotos_51255899-stock-photo-falafel-on-lettuce-with-tzatziki.jpg,10.50,"Falafel, lettuce, tomato, onion, hummus, pita bread",8 
Chicken Kebab,https://media.istockphoto.com/id/912629972/photo/chicken-kebab-with-bell-pepper.jpg?s=612x612&w=0&k=20&c=d9LhLaL-prEprEFKp-P1nKjnTG4si89jFbL9PD79vRI=,9.50,"Chicken skewers, pita bread, lettuce, tomato, onion, yogurt sauce",8
Kofta Kebab,https://www.shutterstock.com/image-photo/traditional-middle-east-kefta-kofta-260nw-1637096575.jpg,9.00,"Meatballs, pita bread, lettuce, tomato, onion, tahini sauce",8
Siciliana,https://pizzeriahappydays.it/wp-content/uploads/2020/05/siciliana-con-tagliere.jpg,9.00,"Tomato, mozzarella, anchovies, capers, olives",9
Pesto Genovese,https://staticcookist.akamaized.net/wp-content/uploads/sites/21/2023/08/pizza-al-pesto-still-life-ok.jpg,10.00,"Pesto sauce, mozzarella, pine nuts, Parmesan cheese",9
Bufalina,https://fiordigrano.minutocaffe.it/wp-content/uploads/2021/01/05331.jpg,11.00,"Tomato, buffalo mozzarella, basil",9
Frutti di Mare,https://previews.123rf.com/images/kittiponkaabb/kittiponkaabb2305/kittiponkaabb230500358/204423654-pizza-ai-frutti-di-mare-su-sfondo-scuro-men%C3%B9-del-ristorante-di-pesce.jpg,12.50,"Tomato, mozzarella, mixed seafood",9
Tartufo,https://www.selektiatartufi.it/wp-content/uploads/2021/01/pizza-al-tartufo-930x620.jpg,13.00,"Mozzarella, truffle cream, mushrooms, Parmesan",9
Tempura Udon,https://carmyy.com/wp-content/uploads/2022/02/Tempura-Udon-9.jpg,12.00,"Noodles, tempura shrimp, broth",10
Katsu Don,https://www.shutterstock.com/image-photo/crispy-katsu-chicken-sauce-rice-600nw-2375571409.jpg,13.50,"Rice, breaded pork cutlet, egg, onions",10
Unagi Don,https://www.funkyasiankitchen.com/wp-content/uploads/2021/11/UNAGI-DON-prep-photo-17.jpg,14.00,"Rice, grilled eel, soy sauce",10
Spicy Tuna Roll,https://t3.ftcdn.net/jpg/04/24/24/46/360_F_424244621_ig9OkjObJLvHwNK8or2n6eaM9gvsQrqz.jpg,11.50,"Rice, spicy tuna, nori seaweed, avocado",10
Yakitori,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Yakitori.jpg/1200px-Yakitori.jpg,9.50,"Chicken skewers, teriyaki sauce",10
Spanakopita,https://www.heart.org/-/media/Images/Healthy-Living/Recipes/Spanakopita_Greek_recipe.jpg?h=675&w=1200&hash=D1BBB2BBC8CA2067F0EE6E2A53D46197,8.00,"Spinach, feta cheese, filo pastry",11
Dolmades,https://staticcookist.akamaized.net/wp-content/uploads/sites/21/2017/06/istock-920393181.jpg,7.50,"Grape leaves, rice, herbs",11
Baklava,https://img.freepik.com/premium-photo/pistachio-baklava-white-background-dessert_188078-2287.jpg,5.50,"Filo pastry, nuts, honey",11
Fasolada,https://oldwayspt.org/sites/default/files/thumbnails/image/fasolada.jpg,9.00,"Bean soup, olive oil, vegetables",11
Mezedes,https://media-cdn.tripadvisor.com/media/photo-s/1b/63/1e/80/antipasto-mezedes.jpg,12.00,"Basmati rice, vine leaves, minced veal, garlic, onion",11
Seitan Steak,https://seitansociety.com/wp-content/uploads/2022/06/Vegan-Steaks.jpg,12.00,"Seitan, vegan gravy, mashed potatoes",12
Vegan Caesar Salad,https://www.noracooks.com/wp-content/uploads/2022/06/vegan-caesar-salad-4.jpg,9.00,"Romaine, vegan parmesan, croutons, vegan Caesar dressing",12
Vegan Lasagna,https://vancouverwithlove.com/wp-content/uploads/2020/10/vegan-lentil-lasagna.jpg.webp,13.00,"Zucchini, vegan ricotta, spinach, tomato sauce",12
Vegan Cheesecake,https://w4s8p5t8.rocketcdn.me/wp-content/uploads/2022/05/no-bake-vegan-cheesecake.jpg,7.50,"Cashe,ased, graham cracker crust, fruit topping",12
Vegan Bolognese,https://schoolnightvegan.com/wp-content/uploads/2022/02/vegan-bolognese-17.jpg,11.00,"Lentils, tomato sauce, spaghetti",12
Ravioli di Ricotta e Spinaci,https://www.cucchiaio.it/content/cucchiaio/it/ricette/2012/05/ricetta-ravioli-ricotta-spinaci/jcr:content/imagePreview.img10.jpg/1542896337028.jpg,12.00,"Ravioli, ricotta, spinach, tomato sauce",13
Ossobuco alla Milanese,https://static.wikia.nocookie.net/milano/images/4/49/Ossobuco_alla_milanese_con_risotto_allo_zafferano.jpg/revision/latest?cb=20230730185141&path-prefix=it,16.00,"Veal shanks, vegetables, white wine, broth, served with risotto",13
Fettuccine Alfredo,https://www.aheadofthyme.com/wp-content/uploads/2021/09/fettuccine-alfredo.jpg,11.00,"Fettuccine, butter, Parmesan cheese",13
Saltimbocca alla Romana,https://www.giallozafferano.it/images/ricette/204/20401/foto_hd/hd650x433_wm.jpg,14.50,"Veal, prosciutto, sage, white wine sauce",13
Bruschetta,https://media.istockphoto.com/id/1181611076/it/foto/bruschetta-italiana-fatta-in-casa-su-tavolo-rustico-in-legno.jpg?s=612x612&w=0&k=20&c=1zS6O9h9qMhHgHwtydkw_ZOgKdcPzgO-CRmn9cblxxo=,6.50,"Grilled bread, garlic, tomatoes, basil, olive oil",13
Beef and Broccoli,https://www.kitchensanctuary.com/wp-content/uploads/2021/01/Beef-and-Broccoli-square-FS.jpg,10.50,"Beef slices, broccoli, ginger, garlic, soy sauce",14
Peking Duck,https://redhousespice.com/wp-content/uploads/2022/01/sliced-peking-duck-with-pancakes-scaled.jpg,22.00,"Roasted duck, crispy skin, thin pancakes, spring onions, cucumber, sweet bean sauce",14
